Designator,Mid X,Mid Y,Rotation,Layer
C1,117.5,-130.4,270.0,top
C10,125.7,-122.2,270.0,bottom
C11,115.7,-126.15,90.0,bottom
C12,127.05,-129.55,270.0,bottom
C13,115.7,-124.25,90.0,bottom
C14,122.45,-125.6,270.0,top
C15,116.6,-124.15,90.0,top
C16,121.95,-117.8,90.0,bottom
C17,129.2,-122.25,90.0,top
C18,124.1,-121.8,90.0,top
C19,123.15,-122.3,90.0,top
C2,117.4,-117.2,180.0,bottom
C20,118.05,-121.8,90.0,top
C21,133.65,-129.0,180.0,bottom
C22,133.65,-129.95,180.0,bottom
C23,130.6,-114.25,0.0,bottom
C24,133.2,-116.65,270.0,bottom
C25,135.5,-130.95,270.0,bottom
C26,127.05,-124.35,90.0,bottom
C27,132.1,-119.35,90.0,bottom
C28,136.25,-125.4,270.0,bottom
C29,127.05,-126.5,90.0,bottom
C3,120.0,-119.4,90.0,bottom
C30,127.05,-122.5,90.0,bottom
C31,130.05,-119.35,90.0,bottom
C32,135.3,-119.7,90.0,bottom
C33,136.25,-123.25,90.0,bottom
C34,136.25,-127.25,270.0,bottom
C36,129.9,-129.0,0.0,bottom
C4,127.5,-130.45,270.0,top
C5,115.7,-129.95,270.0,bottom
C6,121.0,-119.4,90.0,bottom
C7,125.3,-131.2,90.0,bottom
C9,115.7,-128.05,270.0,bottom
D1,116.5,-97.5,135.0,top
D10,135.4,-97.5,135.0,top
D100,135.4,-116.4,135.0,top
D101,116.5,-118.5,135.0,top
D102,118.6,-118.5,135.0,top
D103,120.7,-118.5,135.0,top
D104,122.8,-118.5,135.0,top
D105,124.9,-118.5,135.0,top
D106,127.0,-118.5,135.0,top
D107,129.1,-118.5,135.0,top
D108,131.2,-118.5,135.0,top
D109,133.3,-118.5,135.0,top
D11,116.5,-99.6,135.0,top
D110,135.4,-118.5,135.0,top
D12,118.6,-99.6,135.0,top
D13,120.7,-99.6,135.0,top
D14,122.8,-99.6,135.0,top
D15,124.9,-99.6,135.0,top
D16,127.0,-99.6,135.0,top
D17,129.1,-99.6,135.0,top
D18,131.2,-99.6,135.0,top
D19,133.3,-99.6,135.0,top
D2,118.6,-97.5,135.0,top
D20,135.4,-99.6,135.0,top
D21,116.5,-101.7,135.0,top
D22,118.6,-101.7,135.0,top
D23,120.7,-101.7,135.0,top
D24,122.8,-101.7,135.0,top
D25,124.9,-101.7,135.0,top
D26,127.0,-101.7,135.0,top
D27,129.1,-101.7,135.0,top
D28,131.2,-101.7,135.0,top
D29,133.3,-101.7,135.0,top
D3,120.7,-97.5,135.0,top
D30,135.4,-101.7,135.0,top
D31,116.5,-103.8,135.0,top
D32,118.6,-103.8,135.0,top
D33,120.7,-103.8,135.0,top
D34,122.8,-103.8,135.0,top
D35,124.9,-103.8,135.0,top
D36,127.0,-103.8,135.0,top
D37,129.1,-103.8,135.0,top
D38,131.2,-103.8,135.0,top
D39,133.3,-103.8,135.0,top
D4,122.8,-97.5,135.0,top
D40,135.4,-103.8,135.0,top
D41,116.5,-105.9,135.0,top
D42,118.6,-105.9,135.0,top
